cpu_usage,memory_usage
100.0,0.3
100.0,0.5
100.0,0.6
100.0,0.8
100.0,1.0
100.0,1.1
100.0,1.2
100.0,1.4
100.0,1.6
100.0,1.8
100.0,1.9
100.0,2.1
99.9,2.3
100.0,2.4
100.0,2.6
100.0,2.8
100.0,2.9
100.0,3.0
100.0,3.2
100.0,3.4
100.0,3.6
100.0,3.6
100.0,3.8
100.0,4.1
100.0,4.3
100.0,4.4
100.0,4.4
100.0,4.6
100.0,4.8
100.0,5.0
100.0,5.2
100.0,5.4
100.0,5.5
100.0,5.6
100.0,5.8
100.0,6.0
100.0,6.2
100.0,6.5
100.0,6.7
100.0,6.9
100.0,7.1
100.0,7.4
99.9,7.5
100.0,7.5
100.0,7.5
100.0,7.5
100.0,7.5
100.0,7.5
100.0,6.4
